label,id
Oi tudo bem? Cheguei em casa.,1
Que dia ensolarado! Adoro o verão.,2
Acho que vou sair para jantar hoje.,3
Você viu o novo filme? É incrível!,4
Estou indo para a academia agora.,5
Que saudades da minha família!,6
A festa de ontem à noite foi demais!,7
Preciso terminar essa tarefa logo.,8
Vamos marcar um café em breve.,9
Comprei um presente para o aniversário dele.,10
Estou com fome o que tem para o jantar?,11
Adoro ouvir música clássica à noite.,12
Fui ao parque com meu cachorro hoje.,13
Gosto de ler antes de dormir.,14
Hoje foi um dia cansativo no trabalho.,15
A comida no restaurante novo é deliciosa!,16
Preciso fazer compras no supermercado.,17
Adoro caminhar no parque à tarde.,18
Que filme você viu ontem? Conta aí!,19
Espero que tenha um ótimo dia!,20
Vou sair para um passeio de bicicleta.,21
A reunião de hoje foi produtiva.,22
Estou pensando em fazer uma viagem.,23
Que programa legal para assistir hoje à noite?,24
As flores no jardim estão lindas.,25
Preciso estudar para o exame amanhã.,26
Gosto de passar o tempo com meus amigos.,27
Fui ao mercado e comprei frutas frescas.,28
Que bela vista da janela do meu quarto.,29
Acho que vou fazer um bolo hoje.,30
É incrível como o tempo passa rápido.,31
Estou planejando um churrasco no fim de semana.,32
Adoro a sensação de estar na praia.,33
Que filme você recomenda para assistir?,34
Estou com vontade de aprender a tocar violão.,35
Vou ao museu de arte amanhã.,36
Que livro você está lendo no momento?,37
Hoje é um daqueles dias preguiçosos.,38
Adoro animais de estimação tenho três gatos.,39
Gosto de fazer caminhadas na natureza.,40
Vou cozinhar um jantar especial hoje.,41
Estou ansioso para as férias de verão.,42
Espero que o tempo melhore amanhã.,43
Vou ao teatro na sexta-feira.,44
Que série você está assistindo agora?,45
Estou planejando redecorar meu quarto.,46
Gosto de ler poesia à noite.,47
Adoro o cheiro de flores frescas.,48
Estou pensando em aprender a cozinhar.,49
Vou ao parque para relaxar um pouco.,50
Minha casa é um refúgio de tranquilidade.,100
A casa da árvore no jardim é o lugar favorito das crianças.,101
Comemoramos o Natal em casa todos os anos.,102
A casa de praia está disponível para aluguel.,103
É bom voltar para casa depois de uma longa viagem.,104
No verão passamos dias inteiros na praia.,105
O verão é a estação perfeita para relaxar ao sol.,106
Vou viajar para um destino tropical no verão.,107
Verão é a época das festas na minha cidade.,108
Na academia trabalho duro para manter a forma.,109
Vou à academia todas as manhãs antes do trabalho.,110
Minha rotina inclui exercícios regulares na academia.,111
Fui à academia com um amigo para um treino intenso.,112
Hoje meu treino na academia foi muito cansativo.,113
Minha família se reúne para o jantar todas as noites.,114
Adoramos cozinhar juntos e compartilhar histórias durante o jantar.,115
O jantar de ontem à noite foi incrivelmente saboroso.,116
Decidimos fazer um jantar especial para comemorar.,117
O restaurante que escolhemos para o jantar tem uma vista deslumbrante.,118
Assisti a um filme emocionante no cinema ontem à noite.,119
O novo filme que lançaram é um sucesso de bilheteria.,120
À noite gosto de relaxar assistindo a um bom filme em casa.,121
O cinema é um ótimo lugar para apreciar filmes na tela grande.,122
Gosto de assistir filmes de comédia para dar boas risadas.,123
Passamos o fim de semana em família na casa de campo.,124
Nossa família é unida e sempre apoia um ao outro.,125
A família é o alicerce da minha vida e minha maior prioridade.,126
Reunir a família em feriados é uma tradição importante para nós.,127
Hoje à noite teremos uma festa de aniversário surpresa.,128
A festa de ontem à noite foi um grande sucesso.,129
Vamos organizar uma festa de verão no jardim.,130
A festa será repleta de música dança e diversão.,131
Preciso terminar uma tarefa importante antes do prazo.,132
A tarefa de organizar o evento é desafiadora mas gratificante.,133
Hoje minha tarefa é fazer compras para o jantar de sábado.,134
Realizar uma tarefa por vez é a chave para a produtividade.,135
A tarefa de hoje é cuidar do jardim e podar as flores.,136
Começo o dia com uma xícara de café forte e aromático.,137
Adoro o aroma do café fresamente moído de manhã.,138
